,item,tattoo,mouth,hair,eyes,skin,body,tail,main,background,mustache,glasses,mask,hat,Rarity score,Token Id
0,angel wings,cross,big gum,light grey,soft eyes,white,'sad' text shirt,pointed and messy tail,main,bg #8,None,None,None,None,98.83399360202579,1
1,blood mouth,eye scar,flat mouth,messy,tired eyes,black,chest plate,thief striped tail,main,bg #11,None,None,None,None,99.67000477749976,2
2,blood mouth,cross,O shaped mouth,messy,dark eyes,zombie,golden stripped,cactus green stripped tail,main,bg #3,None,None,None,None,99.37671373107912,3
3,golf club,eye scar,O shaped mouth,light grey,slight thunder eyes,yellow,golden stripped,stripped tail,main,bg #9,None,None,None,None,98.76066636056179,4
4,umbrella,eye scar,zero shaped mouth,realistic,crying eyes,black,single striped,sandy tail,main,bg #2,None,None,None,None,100.0,5
5,blood mouth,cross,vampire,realistic,angry thunder eyes,white,robotic suit,golden stripped tail,main,bg #2,None,None,None,None,98.86322722082534,6
6,blood mouth,eye scar,O shaped mouth,super messy,angry thunder eyes,black,brown singlet,double tail,main,bg #9,None,None,None,None,99.25934339822692,7
7,bloodshot,cross,cross shaped mouth,super messy,devil eyes,fair,stylish pyjamas,pinky striped tail,main,bg rainy,None,None,None,None,99.07599844113622,8
8,snot,eye scar,sad mouth,light grey,devil eyes,zombie,nurse coat,cactus green stripped tail,main,bg rainy,None,None,None,None,99.08332789844042,9
9,None,None,super flat mouth,soft dark,tired eyes,white,body hug,pointed and messy tail,main,bg rainy,long curly  mustache,None,None,None,49.34338480296857,10
10,None,None,cross shaped mouth,super messy,golden eyes,white,viking jacket,sandy tail,main,bg #3,short curly  mustache,None,None,None,48.70523534669523,11
11,None,None,indecisive,soft dark,mixed eyeballs,zombie,nurse coat,robot tail,main,bg #5,long curly  mustache,None,None,None,50.18687284358766,12
12,None,None,super flat mouth,super messy,tired eyes,fair, red mario coat,robot tail,main,bg #11,flat moustache,None,None,None,49.29939645792531,13
13,None,None,bored,super messy,anime eyes,white,squid game suit,double tail,main,bg #4,long curly  mustache,None,None,None,48.595212380941625,14
14,None,None,classic mouth,soft dark,angry thunder eyes,yellow,messy,stripped tail,main,bg #11,long curly  mustache,None,None,None,48.89600031272053,15
15,None,None,big gum,light grey,luminous eyes,black,jacket with bow tie,multi stripped tail,main,bg,classic  moustache,None,None,None,49.98891847134663,16
16,None,None,sad mouth,realistic,devil eyes,yellow,ash striped,inverted tail,main,bg,classic  moustache,None,None,None,49.52676765877328,17
17,None,None,weird mouth,soft dark,mixed eyeballs,zombie,realistic singlet,thief striped tail,main,bg #6,short curly  mustache,None,None,None,49.54144447566877,18
18,None,None,O shaped mouth,soft dark,slight thunder eyes,yellow,green mario coat,realistic tail,main,bg #3,long curly  mustache,None,None,None,49.62214224107077,19
19,None,None,classic mouth,messy,chasis eyes,fair,ash striped,stripped tail,main,bg #1,flat moustache,None,None,None,49.34346167172689,20
20,None,None,sneaky happy mouth,messy,slight thunder eyes,black,black coat,multi stripped tail,main,bg #10,classic  moustache,None,None,None,49.99619422479234,21
21,None,None,super happy,super messy,slight thunder eyes,zombie,red hood dress,cactus green stripped tail,main,bg #3,long curly  mustache,None,None,None,49.9668290097763,22
22,None,None,tongue out,realistic,soft eyes,black,'sad' text shirt,suoer pointed tail],main,bg #5,long curly  mustache,None,None,None,50.018154180176666,23
23,None,None,bored,super messy,tired eyes,fair,astro suit,tail alive,main,bg #11,long curly  mustache,None,None,None,49.18213564652779,24
24,None,None,cute sad mouth,messy,eyeball left,white,viking jacket,multi stripped tail,main,bg #6,flat moustache,None,None,None,48.45582733624505,25
25,None,None,classic mouth,messy,luminous eyes,fair,'sad' text shirt,thief striped tail,main,bg #2,classic  moustache,None,None,None,49.63684959897951,26
26,None,None,gum,messy,tired eyes,yellow,golden armor,pointed and messy tail,main,bg #6,short curly  mustache,None,None,None,48.95460860098444,27
27,None,None,weird mouth,realistic,golden eyes,zombie,squid game suit,pinky messy tail,main,bg #2,long curly  mustache,None,None,None,49.21133238863254,28
28,None,None,big gum,realistic,luminous eyes,fair,jacket with bow tie,pinky messy tail,main,bg #1,classic  moustache,None,None,None,50.01087946455501,29
