,Background,Revamped,Clothes,Tattoo,Shape,Mask,Item,Hair,Base,Aura,Hat,Experience,Level,Rarity score,Token Id
0,Shooting Stars,False,Hoodie - Emoticon,Crossed Out,Circle Frame,Motorcycle Helmet - Black,None,Yellow,Golden,Night,None,None,None,15.680536397563003,0
1,Colorful Clouds,False,Shirt 7 - Black,None,Circle Frame,Fox Mask - Scarred,Yellow Katana,Red,Beige,None,Bucket Hat White Kumo Motif,None,None,21.881416629626692,1
2,Colorful Clouds,False,Sweater - One Shoulder Blue Demon,None,Minimal Frame,LED Japanese Mask,None,Yellow,Beige,Night,Rice Hat - Package,None,None,11.594261867620661,2
3,Japanese Motif - Blue,True,Hoodie - Painted,None,Circle Frame,Fox Mask - Emoticon,None,Orange-Red,Porcelain,Night,Beanie - Yellow,None,None,23.75612605416848,3
4,Light Blue,False,Shirt - Isekai Postal,Heart 7,Circle Frame,Beak Mask - Metal,None,Black,Espresso,None,Hat - Emoticon Black,None,None,24.422826155960777,4
5,Night Sky,False,Shirt - Pixel,None,Square Frame,Motorcycle Helmet - Roughed,None,White,Beige,None,None,None,None,2.4036412364726862,5
6,Pixel - Piano in a Sea,False,Kimono - Blue Green,Greek Letters,Minimal Frame,Akuma Half Mask - Black,None,Red,Golden,None,Bucket Hat White Kumo Motif,None,None,25.855959316056477,6
7,Japanese Motif - Blue,False,Sweater - One Shoulder Cherry Blossoms,None,Circle Frame,Painted Owl mask,Chef Knife,Yellow,Espresso,None,Rice Hat - Sunflower,None,None,22.68459888388725,7
8,Shooting Stars,True,Sweater - One Shoulder Cherry Blossoms,None,Square Frame,Akuma Half Mask - White,Metal Monkey Staff,Orange-Red,Beige,None,Rice Hat - Sunflower,None,None,35.82144377363486,8
9,Colorful Clouds,True,Sweater - Cherry Blossoms,Seven,Minimal Frame,LED Japanese Mask,Red Katana,Yellow,Golden,Light,Beanie - Gray,None,None,56.08333101980881,9
10,Pixel - Piano in a Sea,False,Sweater - Space,Seven,Square Frame,Motorcycle Helmet - Roughed,Gold Chef Knife,Yellow,Beige,None,None,None,None,30.485754283397604,10
11,Pixel - Piano in a Sea,False,Shirt - Painted Tee,Black Flames,Minimal Frame,Motorcycle Helmet - Roughed,Red Space Fork,Yellow,Espresso,None,None,None,None,30.877240399183187,11
12,Japanese Motif - Yellow,False,Sweater - Black and Orange,Black Flames,Circle Frame,Beak Mask - Metal,None,Yellow,Porcelain,Night,Hat - 7 Wave,None,None,24.90073405921374,12
13,Bananaz!,True,Shirt 7 - Black,None,Circle Frame,Elder Skull,None,Orange-Red,Porcelain,No Aura Plain,Hat - 7 White,None,None,28.365705170888063,13
14,Japanese Motif - Blue,False,Sweater - One Shoulder Cherry Blossoms,Seven,Minimal Frame,Full Face Mask - Double Line,None,Red,Espresso,None,Rice Hat - Package,None,None,24.04668678072141,14
15,Japanese Motif - Blue,True,Sweater - One Shoulder Cherry Blossoms,Seven,Circle Frame,Kaiju Mecha Mask - Black,Dark Katana,Red,Beige,No Aura Plain,Hat - 7 Wave,None,None,57.14539365959246,15
16,Colorful Clouds,True,Shirt 7 - White,None,Circle Frame,Painted Lion Mask,Red Scythe,Orange-Red,Golden,None,Hat - Emoticon Black,None,None,36.253400066566115,16
17,Painted Brush,True,Shirt - Japanese Black,Star,Minimal Frame,Kaiju Mecha Mask - 07,Red Scythe,Orange-Red,Porcelain,Night,Hat - 7 Wave,None,None,50.894738583234165,17
18,Pixel - Day on an Island,True,Shirt - Sevens Block,Constellation,Square Frame,Red-eyed Owl,None,White,Espresso,None,Beanie - Aqua,None,None,38.321858017928584,18
19,Japanese Motif - Yellow,True,Sweater - One Shoulder Blue Demon,None,Square Frame,Hype Black Mask,Red Katana,Black,Espresso,Light,Rice Hat - Blue,None,None,41.79311008228817,19
20,Japanese Motif - Pink,True,Sweater - One Shoulder Red Demon,Seven,Square Frame,Mascot - Shiba Inu,None,Black,Beige,No Aura Plain,None,None,None,36.03459121524948,20
21,Painted Brush,True,Sweater - Kintsugi,Sakura Petal,Square Frame,Motorcycle Helmet - Roughed,None,Orange-Red,Porcelain,Night,None,None,None,29.8749554010226,21
22,Red,True,Shirt - Japanese Black,Black Flames,Minimal Frame,Red-eyed Owl,Black Scythe,Red,Golden,No Aura Plain,Beanie - Black,None,None,55.458215842993184,22
23,Pixel - Day on an Island,False,Hoodie - Painted,Kanji,Circle Frame,Akuma Half Mask - Black,Red Monkey Staff,Yellow,Espresso,None,Rice Hat - Sunflower,None,None,39.12597191269727,23
24,Light Blue,False,Shirt - Japanese Black,Heart 7,Minimal Frame,Full Face Mask - ???,Red Space Fork,Red,Espresso,Light,Beanie - White,None,None,43.68976435640054,24
25,Colorful Clouds,True,Shirt 7 - Black,None,Minimal Frame,Petrified Skull,Metal Pipe,White,Porcelain,None,Hat - 7 Black,None,None,35.27770255595051,25
26,Pixel - Piano in a Sea,True,Shirt 7 - Black,None,Minimal Frame,Hype Red Mask,Banana,Black,Porcelain,None,Bucket Hat Black,None,None,34.342371398743666,26
27,Painted Brush,False,Kimono - Blue Green,Seven,Minimal Frame,Painted Black Mask,Red Space Fork,Black,Golden,Light,Bucket Hat White,None,None,42.01772122750847,27
28,Japanese Motif - Yellow,False,Bomber - White and Blue,Black Flames,Minimal Frame,Mecha Bird - Seagull,Metal Pipe,Black,Beige,Night,None,None,None,30.77073064744045,28
29,Sakura Tree,True,Hoodie - Tongue,None,Minimal Frame,Sevens Japanese Mask,Chef Knife,Yellow,Beige,Night,Bucket Hat Black SH777SH,None,None,37.81878096095889,29
