,Lips Color,Mouth,Earrings,Necklace,Clothes,Hairstyle,Facial Features,Eyes,Skin Tone,Background,Face Accessories,Rarity score,Token Id
0,Flashy Blue,Bubble Gum,Ocean Hoops,Malka,Freedom Is Power Tee,Platinum Pixie,Heart Tattoo,Brown Straight,Light Warm Yellow,Soft Purple,None,56.120381020916156,0
1,Passion Red,Slightly Open,Lightning Bolts,None,Futuristic Dress,Bob,Sunset,Yellow To The Right,Light Warm Yellow,Pink Pastel,Red Round Sunglasses,54.91810204977001,1
2,Burgundy,Stern,None,Sun Keeper,Striped Tee,Curly Ponytail,Cyber Warrior,Green Straight,Deep Bronze,Purple Pink,Psychedelic Sunglasses,64.15659743849459,2
3,Burgundy,Slightly Open,Ocean Hoops,None,NFT Goddesses Top,Lucky Green,Heart Tattoo,Blue To The Right,Deep Bronze,Pink Pastel,Black Mask,58.94645946170709,3
4,Purple,Stern,Spikes,Rainbow,White Tee,Natural Red,Marilyn,Black Straight,Golden,Red Turquoise,Psychedelic Sunglasses,74.31938842024437,4
5,Passion Red,Surprised,Ocean Hoops,Tutti Frutti Beads,80s Silk Shirt,Lollipop,Red Eyeliner,Brown To The Left,Deep Warm Gold,Orange Yellow,Red Round Sunglasses,61.70670892178245,5
6,Burgundy,Cigarette,Classic Hoops,None,Checkmate,Long Dark,Rainbow,Black To The Left,Medium Gold,Green Purple,None,31.937278252253083,6
7,Passion Red,Surprised,Ocean Hoops,Satin Choker,Queen's Dress,Bob,Eyebrow Piercing,Green Eye Roll,Light Warm Olive,Yellow Pink,None,33.00062597575169,7
8,Purple,Slight Smile,60s Fantasy,None,Checkmate,Retro,None,Black Eye Roll,Rainbow Bright,Red Turquoise,70s Feels,54.363275181498715,8
9,Purple,Surprised,Silver Drops,Sun Keeper,Fantasy Shirt,Long Dark,Heart Tattoo,Brown Straight,Light Warm Olive,Orange Yellow,None,39.947767644645474,9
10,Burgundy,Slightly Open,Flower Power,Amazonite Energy,80s Silk Shirt,Fuchsia,Treble Bass Clef Tattoo,Yellow Eye Roll,Medium Olive,Green Purple,70s Feels,78.22207071194576,10
11,Passion Red,Cigarette,WoW Coins,Tutti Frutti Beads,Cabaret Corset,Long Dark,Freckles,Blue To The Right,Cyber Green,Blue Green,3D Glasses,79.45696697730537,11
12,Gold,Stern,None,Rainbow,Cabaret Corset,Fuchsia,Rose Tattoo,Black Straight,Light Warm Olive,Dark Purple,None,40.11957112754024,12
13,Passion Red,Slightly Open,None,Amazonite Energy,Red Leather Jacket,Bun,Marilyn,Blue To The Right,Night Goddess,Blue Green,Round Glasses,60.2473636884896,13
14,Passion Red,Stern,Triple Rings,Back To The 90s,Gala Dress,Silver,Feline Eyes,Blue Straight,Deep Warm Gold,Purple Pink,None,37.174359132724874,14
15,Passion Red,Surprised,None,WoW Coin,Adventurer,Lucky Green,Claw Scar,Green Straight,Medium Gold,Yellow Pink,None,28.160086170366387,15
16,Purple,Whistle,None,Satin Choker,Cabaret Corset,Black And White,Sunset,Blue To The Right,Golden,Pink Pastel,Red Round Sunglasses,75.11187680267946,16
17,Burgundy,Countryside,Spikes,None,Queen's Dress,Lioness,Rose Tattoo,Black To The Right,Light Medium Warm Gold,Yellow Pink,None,29.61293543361191,17
18,Passion Red,Countryside,WoW Coins,None,Tuxedo,Lollipop,None,Blue To The Right,Light Warm Olive,Red Turquoise,Classic Aviator WoW,52.296548735910996,18
19,Passion Red,Whistle,None,None,Cabaret Corset,Rose Hair,Flashy Blue,Brown To The Left,Light Warm Yellow,Blue Green,None,16.27949346327067,19
20,Passion Red,Surprised,Flower Power,Malka,Fantasy Shirt,Boy Cut,Flashy Blue,Black To The Right,Burning Red,Purple Pink,Classic Aviator WoW,69.80269156805107,20
21,Passion Red,Slight Smile,None,Amazonite Energy,Freedom Is Power Tee,Platinum Pixie,Crystal Queen,Black To The Left,Cyber Green,Yellow Pink,Oversized Statement Sunglasses,59.58039654196761,21
22,Purple,Stern,Ocean Hoops,Satin Choker,Psychedelic Dress,Bob,None,Purple Eye Roll,Light Medium Warm Gold,Dark Emerald,None,35.32516297704688,22
23,Passion Red,Whistle,Yam's Fave,Amazonite Energy,Little Red Dress,Finger Waves,Rainbow,Brown To The Right,Deep Warm Gold,Yellow Pink,Black Mask,74.84782782303881,23
24,Burgundy,Slightly Open,Ocean Hoops,Golden Flakes,Cherry Tee,Curly Ponytail,Eyebrow Piercing,Black Straight,Medium Gold,Dark Purple,70s Feels,67.41872250644214,24
25,Passion Red,Slight Smile,None,Spike Choker,80s Silk Shirt,Fuchsia,Antoinette,Black Eye Roll,Medium Olive,Red Turquoise,Round Glasses,52.05874588327129,25
