,Hat Color,Glasses Frame Color,Overall Color,Shirt Color,Boot Color,Pupil Color,Hair Color,Hat,Facial Hair,Glasses,Held Item,Hair Style,Outfit,Gender,Class,Zipper Color,Helmet Glass Color,Glove Color,Suit Color,Pant Color,Shoe Color,Belt Buckle Color,Bandana Color,Belt Color,Tie Color,Life Buoy Color,Robe Color,Lifejacket Color,Miscellaneous,Jumpsuit Color,Foot Color,Vest Color,Apron Color,Special,Shirt Collar Color,Undershirt Color,String Color,Jacket Color,Spatula Color,Dress Color,Frame Color,Pants Color,Lab Coat Color,Fuel Rod Color,Gloves and Boots Color,Fish 1 Color,Skirt Color,Gloves and Foot Color,Horn Color,Hoof Color,Coat Color,Breed,Overalls Color,Shirt Accent Color,Badge Accent 1 Color,Suspender Color,Wool Color,Eye Patch Color,Feather Color,Comb and Wattle Color,Water Tank Color,Track Color,Body Color,Shirt and Pant Color,Sleeve Color,Wheel Color,Skin Color,Rarity score,Token Id
0,White,Screamin' Green,Japanese Laurel,White,Medium Brown,Cement,Millbrook,Hard Hat,Hungarian Mustache,Oval Frame,Shovel,Pageboy,Pig Farmer,Male,Farmer,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.849551683916665,0
1,None,None,None,None,None,None,None,None,None,None,Flask,None,Hazmat Suit ,None,Nuclear Engineer,Screamin' Green,White,Medium Gray,Orange,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72.23976420973266,1
2,None,None,Medium Brown,Saratoga,None,Cement,Mine Shaft,None,Goatee Beard,None,None,Cornrows,Metal Worker,Male,Factory Worker,None,None,None,None,White,Light Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.25975853491739,2
3,Electric Violet,None,Emperor,Portage,Black,Millbrook,Black,Flat Cap,Goatee Beard,None,None,Bob,Rancher Checkered Dungarees,Male,Rancher,None,None,None,None,None,None,Medium Gray,Armadillo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.17526188081485,3
4,Screamin' Green,Scarlet,None,Mandy's Pink,None,Cement,Cumin,Straw Hat,Chevron Mustache,Shutter,None,Payot,Tank Top,Male,Trucker,None,None,None,None,Shadow,Black,None,None,Light Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.22785280846282,4
5,Screamin' Green,None,None,Armadillo,None,Millbrook,Nomad,Fedora,None,None,Computer,Curly,Mini Skirt,Female,Trucker,None,None,None,None,None,Black,None,None,Black,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.078227093725854,5
6,None,None,None,Portage,None,Millbrook,Mine Shaft,None,None,None,None,Long Fringe,Disco Miller,Female,Miller,None,None,None,None,Mirage,Black,None,None,Medium Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.932888979443867,6
7,None,None,None,White,None,Millbrook,White,None,None,None,None,80s,Captain Uniform,Female,Freight Captain,None,None,None,None,Black,Dark Brown,None,None,None,Pelorous,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20.768948990522222,7
8,Pelorous,None,None,Amethyst Smoke,Black,Millbrook,Nomad,Flat Cap,Horseshoe Mustache,None,None,Long Fringe,Life Buoy,Male,Boat Captain,None,None,None,None,Twine,None,None,None,None,None,Pink,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32.008469237414744,8
9,None,None,White,Tussock,None,Millbrook,Cod Gray,None,None,None,Hoe,Afro,Dairy Farmer,Female,Farmer,None,None,None,None,None,Dark Brown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.612731302231506,9
