,Lips Color,Mouth,Earrings,Clothes,Hairstyle,Implants,Facial Features,Eyes,Skin Tone,Background,Necklace,Face Accessories,Champion,Guardian,Rarity score,Token Id
0,Blue,Slightly Open,Spiralhani,Holographic Hoodie,Asymetric Style,Pink Network,Phynx,Laser Eye Roll,Light Warm Yellow,Purple Blue Spikes,None,None,None,None,11.026047223246122,0
1,Deep Green,Little Smile,Geometric Neons,Bomber Jacket,Disruptor,Gold Plaques,Blue Bridge,Deep Sentient Eye Roll,Deep Bronze,Wave,None,None,None,None,16.795943268831476,3
2,Deep Green,Alien Gum,Star Diamonds,Fiery Corset,Scarlet Power,Space Crystals,Triple Brow Scar,Hypnotic Straight,Golden,Pink V,Silver Moth,None,None,None,48.59055585678447,4
3,Unstoppable,Munching,Recycled,Jungle Guard,Disruptor,Emerald Printed Circuit,Cosmos Birthmark,Binary Green Straight,Medium Gold,Pink V,Creators,Pilot Goggles,None,None,69.65723991444958,6
4,Rust,Down To Business,Lunar Rings,Cairys Suit,Sugar Rush,Pink Network,Purple Beauty Piercing,Binary Green Right,Light Warm Olive,Yellow Squares,None,None,None,None,5.4014059692146015,7
5,Passion,Munching,Bar Combo,Star Hunter,Sugar Rush,Gold Plaques,Blue Bridge,Ice Left,Rainbow Bright,Cross,Creators,None,None,None,39.14371946075976,8
6,Deep Green,Little Smile,Lunar Rings,Moon Robe,Fuchsia Spirit,Space Crystals,Unseen Protector,Rainbow Glass Eye Roll,Light Warm Olive,Yellow Squares,None,Truth Vision Monocle,None,None,43.03315143466152,9
7,Blue,Surprised,Double Gold Hoops,Blazer,Superior Ponytail,Copper Plating,Green Cleo,Hypnotic Eye Roll,Medium Olive,Yellow Green Stripes,Creators,None,None,None,33.6536249367992,10
8,Passion,Little Smile,Double Gold Hoops,New Era Dress,Synthetic Purple,Alu Threads,Heating Power Tattoo,Golden Cyborg Straight,Cyber Green,Cross,Color Party,Ultraglasses,None,None,59.76403936107405,11
9,Rust,Little Smile,Lunar Rings,Blazer,Scarlet Power,Emerald Printed Circuit,Blue Bridge,Laser Right,Night Goddess,Retro Blue,Yela,Visored Mask,None,None,57.04730316632668,13
